usid,rating_1,rating_2,rating_median
P1-4143,4,4,4.0
P1-971,1,1,1.0
P1-3308,4,3,3.5
P1-4729,5,4,4.5
P1-5892,2,2,2.0
P1-1779,1,1,1.0
P1-5575,4,5,4.5
P1-4894,4,4,4.0
P1-5482,4,3,3.5
P1-4709,2,2,2.0
P1-3610,4,4,4.0
P1-4140,4,4,4.0
P1-2456,3,2,2.5
P1-6428,5,3,4.0
P1-1114,2,2,2.0
P1-316,2,1,1.5
P1-4566,2,2,2.0
P1-4085,5,4,4.5
P1-3302,3,4,3.5
P1-6648,4,4,4.0
P1-6398,4,3,3.5
P1-2056,2,1,1.5
P1-1271,1,1,1.0
P1-5862,4,4,4.0
P1-6580,4,4,4.0
P1-3604,3,1,2.0
P1-2873,3,2,2.5
P1-6797,4,5,4.5
P1-4498,5,4,4.5
P1-3121,2,2,2.0
P1-306,1,1,1.0
P1-4939,4,3,3.5
P1-2135,3,3,3.0
P1-4547,5,5,5.0
P1-6395,4,5,4.5
P1-4564,3,2,2.5
P1-5889,2,2,2.0
P1-1388,1,1,1.0
P1-5583,3,4,3.5
P1-2024,1,1,1.0
P1-2631,3,3,3.0
P1-4026,4,5,4.5
P1-5843,4,3,3.5
P1-5887,3,2,2.5
P1-3749,3,1,2.0
P1-2683,3,1,2.0
P1-6386,2,2,2.0
P1-3611,5,4,4.5
P1-5591,3,3,3.0
P1-2404,1,1,1.0
