usid,rating_1,rating_2,rating_median
P2-224919,2,3,2.5
P2-121151,4,2,3.0
P2-229468,4,5,4.5
P2-135394,5,4,4.5
P2-118687,3,2,2.5
P2-137091,3,3,3.0
P2-233371,4,2,3.0
P2-138607,2,3,2.5
P2-164448,3,2,2.5
P2-234572,4,4,4.0
P2-226256,2,3,2.5
P2-225456,2,5,3.5
P2-222731,3,4,3.5
P2-179525,4,5,4.5
P2-135323,4,5,4.5
P2-156835,2,5,3.5
P2-156869,4,4,4.0
P2-153456,3,4,3.5
P2-164343,3,4,3.5
P2-135320,3,5,4.0
P2-227230,4,5,4.5
P2-230316,5,4,4.5
P2-233238,4,3,3.5
P2-176360,4,2,3.0
P2-141325,3,4,3.5
P2-128271,3,1,2.0
P2-148438,3,2,2.5
P2-132907,3,3,3.0
P2-230210,2,1,1.5
P2-118658,2,2,2.0
P2-138361,5,4,4.5
P2-170470,3,3,3.0
P2-152712,3,4,3.5
P2-225774,1,1,1.0
P2-144098,3,2,2.5
P2-147515,4,3,3.5
P2-137529,4,4,4.0
P2-225604,4,4,4.0
P2-136484,4,4,4.0
P2-229459,4,3,3.5
P2-225041,2,1,1.5
P2-222813,3,2,2.5
P2-177939,4,5,4.5
P2-177929,3,4,3.5
P2-225599,3,3,3.0
P2-161536,3,3,3.0
P2-225601,2,1,1.5
P2-234692,3,3,3.0
P2-222525,1,2,1.5
P2-150230,3,1,2.0
